economy,year,value,indicator description,indicator code
UGA,YR1961,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
ZAF,YR1961,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
ZMB,YR1961,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
ZWE,YR1961,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
AGO,YR1962,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
BDI,YR1962,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
BEN,YR1962,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
BFA,YR1962,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
BWA,YR1962,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
CAF,YR1962,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
CIV,YR1962,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
CMR,YR1962,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
COD,YR1962,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
COG,YR1962,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
COM,YR1962,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
CPV,YR1962,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
DJI,YR1962,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
DZA,YR1962,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
EGY,YR1962,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
ERI,YR1962,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
ETH,YR1962,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
GAB,YR1962,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
GHA,YR1962,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
GIN,YR1962,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
GMB,YR1962,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
GNB,YR1962,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
GNQ,YR1962,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
KEN,YR1962,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
LBR,YR1962,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
LBY,YR1962,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
LSO,YR1962,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
MAR,YR1962,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
MDG,YR1962,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
MLI,YR1962,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
MOZ,YR1962,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
MRT,YR1962,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
MUS,YR1962,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
MWI,YR1962,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
NAM,YR1962,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
NER,YR1962,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
NGA,YR1962,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
RWA,YR1962,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
SDN,YR1962,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
SEN,YR1962,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
SLE,YR1962,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
SOM,YR1962,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
SSD,YR1962,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
STP,YR1962,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
SWZ,YR1962,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
SYC,YR1962,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
TCD,YR1962,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
TGO,YR1962,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
TUN,YR1962,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
TZA,YR1962,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
UGA,YR1962,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
ZAF,YR1962,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
ZMB,YR1962,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
ZWE,YR1962,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
AGO,YR1963,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
BDI,YR1963,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
BEN,YR1963,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
BFA,YR1963,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
BWA,YR1963,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
CAF,YR1963,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
CIV,YR1963,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
CMR,YR1963,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
COD,YR1963,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
COG,YR1963,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
COM,YR1963,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
CPV,YR1963,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
DJI,YR1963,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
DZA,YR1963,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
EGY,YR1963,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
ERI,YR1963,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
ETH,YR1963,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
GAB,YR1963,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
GHA,YR1963,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
GIN,YR1963,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
GMB,YR1963,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
GNB,YR1963,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
GNQ,YR1963,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
KEN,YR1963,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
LBR,YR1963,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
LBY,YR1963,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
LSO,YR1963,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
MAR,YR1963,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
MDG,YR1963,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
MLI,YR1963,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
MOZ,YR1963,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
MRT,YR1963,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
MUS,YR1963,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
MWI,YR1963,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
NAM,YR1963,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
NER,YR1963,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
NGA,YR1963,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
RWA,YR1963,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
SDN,YR1963,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
SEN,YR1963,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
SLE,YR1963,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
SOM,YR1963,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
SSD,YR1963,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
STP,YR1963,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
SWZ,YR1963,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
SYC,YR1963,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
TCD,YR1963,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
TGO,YR1963,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
TUN,YR1963,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
TZA,YR1963,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
UGA,YR1963,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
ZAF,YR1963,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
ZMB,YR1963,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
ZWE,YR1963,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
AGO,YR1964,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
BDI,YR1964,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
BEN,YR1964,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
BFA,YR1964,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
BWA,YR1964,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
CAF,YR1964,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
CIV,YR1964,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
CMR,YR1964,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
COD,YR1964,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
COG,YR1964,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
COM,YR1964,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
CPV,YR1964,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
DJI,YR1964,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
DZA,YR1964,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
EGY,YR1964,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
ERI,YR1964,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
ETH,YR1964,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
GAB,YR1964,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
GHA,YR1964,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
GIN,YR1964,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
GMB,YR1964,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
GNB,YR1964,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
GNQ,YR1964,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
KEN,YR1964,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
LBR,YR1964,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
LBY,YR1964,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
LSO,YR1964,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
MAR,YR1964,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
MDG,YR1964,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
MLI,YR1964,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
MOZ,YR1964,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
MRT,YR1964,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
MUS,YR1964,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
MWI,YR1964,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
NAM,YR1964,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
NER,YR1964,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
NGA,YR1964,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
RWA,YR1964,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
SDN,YR1964,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
SEN,YR1964,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
SLE,YR1964,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
SOM,YR1964,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
SSD,YR1964,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
STP,YR1964,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
SWZ,YR1964,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
SYC,YR1964,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
TCD,YR1964,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
TGO,YR1964,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
TUN,YR1964,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
TZA,YR1964,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
UGA,YR1964,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
ZAF,YR1964,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
ZMB,YR1964,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
ZWE,YR1964,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
AGO,YR1965,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
BDI,YR1965,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
BEN,YR1965,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
BFA,YR1965,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
BWA,YR1965,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
CAF,YR1965,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
CIV,YR1965,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
CMR,YR1965,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
COD,YR1965,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
COG,YR1965,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
COM,YR1965,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
CPV,YR1965,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
DJI,YR1965,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
DZA,YR1965,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
EGY,YR1965,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
ERI,YR1965,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
ETH,YR1965,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
GAB,YR1965,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
GHA,YR1965,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
GIN,YR1965,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
GMB,YR1965,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
GNB,YR1965,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
GNQ,YR1965,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
KEN,YR1965,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
LBR,YR1965,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
LBY,YR1965,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
LSO,YR1965,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
MAR,YR1965,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
MDG,YR1965,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
MLI,YR1965,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
MOZ,YR1965,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
MRT,YR1965,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
MUS,YR1965,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
MWI,YR1965,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
NAM,YR1965,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
NER,YR1965,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
NGA,YR1965,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
RWA,YR1965,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
SDN,YR1965,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
SEN,YR1965,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
