economy,year,value,indicator description,indicator code
AGO,YR1960,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
BDI,YR1960,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
BEN,YR1960,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
BFA,YR1960,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
BWA,YR1960,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
CAF,YR1960,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
CIV,YR1960,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
CMR,YR1960,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
COD,YR1960,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
COG,YR1960,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
COM,YR1960,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
CPV,YR1960,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
DJI,YR1960,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
DZA,YR1960,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
EGY,YR1960,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
ERI,YR1960,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
ETH,YR1960,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
GAB,YR1960,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
GHA,YR1960,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
GIN,YR1960,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
GMB,YR1960,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
GNB,YR1960,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
GNQ,YR1960,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
KEN,YR1960,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
LBR,YR1960,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
LBY,YR1960,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
LSO,YR1960,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
MAR,YR1960,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
MDG,YR1960,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
MLI,YR1960,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
MOZ,YR1960,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
MRT,YR1960,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
MUS,YR1960,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
MWI,YR1960,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
NAM,YR1960,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
NER,YR1960,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
NGA,YR1960,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
RWA,YR1960,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
SDN,YR1960,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
SEN,YR1960,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
SLE,YR1960,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
SOM,YR1960,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
SSD,YR1960,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
STP,YR1960,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
SWZ,YR1960,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
SYC,YR1960,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
TCD,YR1960,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
TGO,YR1960,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
TUN,YR1960,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
TZA,YR1960,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
UGA,YR1960,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
ZAF,YR1960,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
ZMB,YR1960,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
ZWE,YR1960,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
AGO,YR1961,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
BDI,YR1961,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
BEN,YR1961,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
BFA,YR1961,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
BWA,YR1961,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
CAF,YR1961,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
CIV,YR1961,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
CMR,YR1961,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
COD,YR1961,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
COG,YR1961,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
COM,YR1961,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
CPV,YR1961,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
DJI,YR1961,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
DZA,YR1961,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
EGY,YR1961,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
ERI,YR1961,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
ETH,YR1961,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
GAB,YR1961,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
GHA,YR1961,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
GIN,YR1961,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
GMB,YR1961,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
GNB,YR1961,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
GNQ,YR1961,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
KEN,YR1961,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
LBR,YR1961,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
LBY,YR1961,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
LSO,YR1961,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
MAR,YR1961,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
MDG,YR1961,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
MLI,YR1961,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
MOZ,YR1961,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
MRT,YR1961,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
MUS,YR1961,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
MWI,YR1961,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
NAM,YR1961,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
NER,YR1961,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
NGA,YR1961,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
RWA,YR1961,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
SDN,YR1961,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
SEN,YR1961,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
SLE,YR1961,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
SOM,YR1961,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
SSD,YR1961,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
STP,YR1961,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
SWZ,YR1961,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
SYC,YR1961,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
TCD,YR1961,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
TGO,YR1961,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
TUN,YR1961,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
TZA,YR1961,,"ID ownership, 25 and older (%)",FX.OWN.TOTL.OL.ZS
