iso3,year,value,indicator description,indicator code
EGY,1998,3.044206392066188,WDI-calculated corruption score share of 148,CC.EST calculated
ERI,1998,5.90398563736319,WDI-calculated corruption score share of 148,CC.EST calculated
ETH,1998,1.8211341113814528,WDI-calculated corruption score share of 148,CC.EST calculated
GAB,1998,1.5563417888164368,WDI-calculated corruption score share of 148,CC.EST calculated
GHA,1998,3.4701559297335174,WDI-calculated corruption score share of 148,CC.EST calculated
GIN,1998,1.3270952589061527,WDI-calculated corruption score share of 148,CC.EST calculated
GMB,1998,3.369071633833548,WDI-calculated corruption score share of 148,CC.EST calculated
GNB,1998,1.191732649034903,WDI-calculated corruption score share of 148,CC.EST calculated
GNQ,1998,1.0024023565324691,WDI-calculated corruption score share of 148,CC.EST calculated
KEN,1998,1.0659867658669373,WDI-calculated corruption score share of 148,CC.EST calculated
LBR,1998,0.0,WDI-calculated corruption score share of 148,CC.EST calculated
LBY,1998,1.8092033576727053,WDI-calculated corruption score share of 148,CC.EST calculated
LSO,1998,4.100010286466301,WDI-calculated corruption score share of 148,CC.EST calculated
MAR,1998,4.715527372534311,WDI-calculated corruption score share of 148,CC.EST calculated
MDG,1998,2.805920656672871,WDI-calculated corruption score share of 148,CC.EST calculated
MLI,1998,1.8327704055394012,WDI-calculated corruption score share of 148,CC.EST calculated
MOZ,1998,3.295785056534949,WDI-calculated corruption score share of 148,CC.EST calculated
MRT,1998,2.9357574365570547,WDI-calculated corruption score share of 148,CC.EST calculated
MUS,1998,5.055522123417362,WDI-calculated corruption score share of 148,CC.EST calculated
MWI,1998,3.6698384122294074,WDI-calculated corruption score share of 148,CC.EST calculated
NAM,1998,6.533907802920062,WDI-calculated corruption score share of 148,CC.EST calculated
NER,1998,1.332143920447708,WDI-calculated corruption score share of 148,CC.EST calculated
NGA,1998,1.080939415000701,WDI-calculated corruption score share of 148,CC.EST calculated
RWA,1998,2.3195912282924396,WDI-calculated corruption score share of 148,CC.EST calculated
SDN,1998,1.1983139399729628,WDI-calculated corruption score share of 148,CC.EST calculated
SEN,1998,4.065672262165552,WDI-calculated corruption score share of 148,CC.EST calculated
SLE,1998,2.333616278422157,WDI-calculated corruption score share of 148,CC.EST calculated
SOM,1998,1.0559878244964305,WDI-calculated corruption score share of 148,CC.EST calculated
SSD,1998,,WDI-calculated corruption score share of 148,CC.EST calculated
STP,1998,5.572904865240646,WDI-calculated corruption score share of 148,CC.EST calculated
SWZ,1998,4.575136861548228,WDI-calculated corruption score share of 148,CC.EST calculated
SYC,1998,6.0594558238710245,WDI-calculated corruption score share of 148,CC.EST calculated
TCD,1998,0.5748522306723928,WDI-calculated corruption score share of 148,CC.EST calculated
TGO,1998,2.0274732993685927,WDI-calculated corruption score share of 148,CC.EST calculated
TUN,1998,3.1729231801373925,WDI-calculated corruption score share of 148,CC.EST calculated
TZA,1998,2.1074425487602717,WDI-calculated corruption score share of 148,CC.EST calculated
UGA,1998,1.5716296899183855,WDI-calculated corruption score share of 148,CC.EST calculated
ZAF,1998,6.255282737335924,WDI-calculated corruption score share of 148,CC.EST calculated
ZMB,1998,1.9650504455496944,WDI-calculated corruption score share of 148,CC.EST calculated
ZWE,1998,2.966761901937058,WDI-calculated corruption score share of 148,CC.EST calculated
AGO,2000,0.8194974925641996,WDI-calculated corruption score share of 148,CC.EST calculated
BDI,2000,1.9871052342724222,WDI-calculated corruption score share of 148,CC.EST calculated
BEN,2000,2.374792935774769,WDI-calculated corruption score share of 148,CC.EST calculated
BFA,2000,4.960545475634335,WDI-calculated corruption score share of 148,CC.EST calculated
BWA,2000,7.258339665896972,WDI-calculated corruption score share of 148,CC.EST calculated
CAF,2000,0.8151695866749772,WDI-calculated corruption score share of 148,CC.EST calculated
CIV,2000,2.135886519710563,WDI-calculated corruption score share of 148,CC.EST calculated
CMR,2000,0.4193088185904657,WDI-calculated corruption score share of 148,CC.EST calculated
COD,2000,0.0,WDI-calculated corruption score share of 148,CC.EST calculated
COG,2000,1.6138360453248581,WDI-calculated corruption score share of 148,CC.EST calculated
COM,2000,1.5568205894801876,WDI-calculated corruption score share of 148,CC.EST calculated
CPV,2000,8.100160110244136,WDI-calculated corruption score share of 148,CC.EST calculated
DJI,2000,2.5762180888884405,WDI-calculated corruption score share of 148,CC.EST calculated
DZA,2000,1.4778755090483973,WDI-calculated corruption score share of 148,CC.EST calculated
