Country,iso3,year,value,indicator code,indicator description
Montserrat,MSR,2018,16.53285,FSI,Financial Secrecy Index
Martinique,MTQ,2018,,FSI,Financial Secrecy Index
Mauritius,MUS,2018,223.4719,FSI,Financial Secrecy Index
Malawi,MWI,2018,,FSI,Financial Secrecy Index
Malaysia,MYS,2018,335.1089,FSI,Financial Secrecy Index
Mayotte,MYT,2018,,FSI,Financial Secrecy Index
Namibia,NAM,2018,,FSI,Financial Secrecy Index
New Caledonia,NCL,2018,,FSI,Financial Secrecy Index
Niger,NER,2018,,FSI,Financial Secrecy Index
Norfolk Island,NFK,2018,,FSI,Financial Secrecy Index
Nigeria,NGA,2018,,FSI,Financial Secrecy Index
Nicaragua,NIC,2018,,FSI,Financial Secrecy Index
Niue,NIU,2018,,FSI,Financial Secrecy Index
Netherlands,NLD,2018,598.8086,FSI,Financial Secrecy Index
Norway,NOR,2018,242.8484,FSI,Financial Secrecy Index
Nepal,NPL,2018,,FSI,Financial Secrecy Index
Nauru,NRU,2018,26.32038,FSI,Financial Secrecy Index
New Zealand,NZL,2018,178.5624,FSI,Financial Secrecy Index
Oman,OMN,2018,,FSI,Financial Secrecy Index
Pakistan,PAK,2018,,FSI,Financial Secrecy Index
Panama,PAN,2018,625.8401,FSI,Financial Secrecy Index
Pitcairn,PCN,2018,,FSI,Financial Secrecy Index
Peru,PER,2018,,FSI,Financial Secrecy Index
Philippines,PHL,2018,269.8108,FSI,Financial Secrecy Index
Palau,PLW,2018,,FSI,Financial Secrecy Index
Papua New Guinea,PNG,2018,,FSI,Financial Secrecy Index
Poland,POL,2018,215.3974,FSI,Financial Secrecy Index
Puerto Rico,PRI,2018,151.0607,FSI,Financial Secrecy Index
North Korea,PRK,2018,,FSI,Financial Secrecy Index
Portugal,PRT,2018,151.6261,FSI,Financial Secrecy Index
Paraguay,PRY,2018,158.5205,FSI,Financial Secrecy Index
Palestine,PSE,2018,,FSI,Financial Secrecy Index
French Polynesia,PYF,2018,,FSI,Financial Secrecy Index
Qatar,QAT,2018,,FSI,Financial Secrecy Index
Reunion,REU,2018,,FSI,Financial Secrecy Index
Romania,ROU,2018,232.3018,FSI,Financial Secrecy Index
Russia,RUS,2018,361.1588,FSI,Financial Secrecy Index
Rwanda,RWA,2018,,FSI,Financial Secrecy Index
Saudi Arabia,SAU,2018,278.5754,FSI,Financial Secrecy Index
Sudan,SDN,2018,,FSI,Financial Secrecy Index
Senegal,SEN,2018,,FSI,Financial Secrecy Index
Singapore,SGP,2018,1081.982,FSI,Financial Secrecy Index
South Georgia and the South Sandwich Islands,SGS,2018,,FSI,Financial Secrecy Index
Saint Helena,SHN,2018,,FSI,Financial Secrecy Index
Svalbard and Jan Mayen Islands,SJM,2018,,FSI,Financial Secrecy Index
Solomon Islands,SLB,2018,,FSI,Financial Secrecy Index
Sierra Leone,SLE,2018,,FSI,Financial Secrecy Index
El Salvador,SLV,2018,,FSI,Financial Secrecy Index
San Marino,SMR,2018,24.31495,FSI,Financial Secrecy Index
Somalia,SOM,2018,,FSI,Financial Secrecy Index
St. Pierre and Miquelon,SPM,2018,,FSI,Financial Secrecy Index
Serbia,SRB,2018,,FSI,Financial Secrecy Index
South Sudan,SSD,2018,,FSI,Financial Secrecy Index
Sao Tome and Principe,STP,2018,,FSI,Financial Secrecy Index
Suriname,SUR,2018,,FSI,Financial Secrecy Index
Slovakia,SVK,2018,127.8874,FSI,Financial Secrecy Index
Slovenia,SVN,2018,35.32386,FSI,Financial Secrecy Index
Sweden,SWE,2018,203.5453,FSI,Financial Secrecy Index
Eswatini,SWZ,2018,,FSI,Financial Secrecy Index
Sint Maarten,SXM,2018,,FSI,Financial Secrecy Index
Seychelles,SYC,2018,125.2617,FSI,Financial Secrecy Index
Syria,SYR,2018,,FSI,Financial Secrecy Index
Turks and Caicos Islands,TCA,2018,98.07825,FSI,Financial Secrecy Index
Chad,TCD,2018,,FSI,Financial Secrecy Index
Togo,TGO,2018,,FSI,Financial Secrecy Index
Thailand,THA,2018,550.5987,FSI,Financial Secrecy Index
Tajikistan,TJK,2018,,FSI,Financial Secrecy Index
Tokelau,TKL,2018,,FSI,Financial Secrecy Index
Turkmenistan,TKM,2018,,FSI,Financial Secrecy Index
Timor-Leste,TLS,2018,,FSI,Financial Secrecy Index
Tonga,TON,2018,,FSI,Financial Secrecy Index
Trinidad and Tobago,TTO,2018,27.86072,FSI,Financial Secrecy Index
Tunisia,TUN,2018,,FSI,Financial Secrecy Index
Turkey,TUR,2018,353.8883,FSI,Financial Secrecy Index
Tuvalu,TUV,2018,,FSI,Financial Secrecy Index
Taiwan,TWN,2018,743.3792,FSI,Financial Secrecy Index
Tanzania,TZA,2018,128.9168,FSI,Financial Secrecy Index
Uganda,UGA,2018,,FSI,Financial Secrecy Index
Ukraine,UKR,2018,246.2471,FSI,Financial Secrecy Index
United States Minor Outlying Islands,UMI,2018,,FSI,Financial Secrecy Index
Uruguay,URY,2018,148.2012,FSI,Financial Secrecy Index
United States,USA,2018,1298.47,FSI,Financial Secrecy Index
Uzbekistan,UZB,2018,,FSI,Financial Secrecy Index
Vatican,VAT,2018,,FSI,Financial Secrecy Index
St. Vincent & Grenadines,VCT,2018,21.37537,FSI,Financial Secrecy Index
Venezuela,VEN,2018,105.0341,FSI,Financial Secrecy Index
British Virgin Islands,VGB,2018,502.7578,FSI,Financial Secrecy Index
US Virgin Islands,VIR,2018,101.8939,FSI,Financial Secrecy Index
Vietnam,VNM,2018,,FSI,Financial Secrecy Index
Vanuatu,VUT,2018,149.2654,FSI,Financial Secrecy Index
Wallis and Futuna Islands,WLF,2018,,FSI,Financial Secrecy Index
Samoa,WSM,2018,115.901,FSI,Financial Secrecy Index
,XKX,2018,,FSI,Financial Secrecy Index
Yemen,YEM,2018,,FSI,Financial Secrecy Index
South Africa,ZAF,2018,216.4384,FSI,Financial Secrecy Index
Zambia,ZMB,2018,,FSI,Financial Secrecy Index
Zimbabwe,ZWE,2018,,FSI,Financial Secrecy Index
Aruba,ABW,2020,76.65347324,FSI,Financial Secrecy Index
Afghanistan,AFG,2020,,FSI,Financial Secrecy Index
Angola,AGO,2020,345.4517203,FSI,Financial Secrecy Index
Anguilla,AIA,2020,192.9863302,FSI,Financial Secrecy Index
Albania,ALB,2020,,FSI,Financial Secrecy Index
Andorra,AND,2020,38.8370971,FSI,Financial Secrecy Index
Netherlands Antilles,ANT,2020,,FSI,Financial Secrecy Index
United Arab Emirates,ARE,2020,605.1966719,FSI,Financial Secrecy Index
Argentina,ARG,2020,109.3707018,FSI,Financial Secrecy Index
Armenia,ARM,2020,,FSI,Financial Secrecy Index
American Samoa,ASM,2020,,FSI,Financial Secrecy Index
French Southern Territories,ATF,2020,,FSI,Financial Secrecy Index
Antigua and Barbuda,ATG,2020,39.04950099,FSI,Financial Secrecy Index
Australia,AUS,2020,238.0740006,FSI,Financial Secrecy Index
Austria,AUT,2020,317.0012908,FSI,Financial Secrecy Index
Azerbaijan,AZE,2020,,FSI,Financial Secrecy Index
Burundi,BDI,2020,,FSI,Financial Secrecy Index
Belgium,BEL,2020,236.2087478,FSI,Financial Secrecy Index
Benin,BEN,2020,,FSI,Financial Secrecy Index
"Bonaire, Sint Eustatius and Saba",BES,2020,,FSI,Financial Secrecy Index
Burkina Faso,BFA,2020,,FSI,Financial Secrecy Index
Bangladesh,BGD,2020,228.7907315,FSI,Financial Secrecy Index
Bulgaria,BGR,2020,57.52600889,FSI,Financial Secrecy Index
Bahrain,BHR,2020,137.9927224,FSI,Financial Secrecy Index
Bahamas,BHS,2020,407.2798157,FSI,Financial Secrecy Index
Bosnia and Herzegovina,BIH,2020,,FSI,Financial Secrecy Index
Belarus,BLR,2020,,FSI,Financial Secrecy Index
Belize,BLZ,2020,78.07163009,FSI,Financial Secrecy Index
Bermuda,BMU,2020,289.0693612,FSI,Financial Secrecy Index
Bolivia,BOL,2020,114.7429415,FSI,Financial Secrecy Index
Brazil,BRA,2020,157.2123276,FSI,Financial Secrecy Index
Barbados,BRB,2020,192.8631042,FSI,Financial Secrecy Index
Brunei,BRN,2020,34.61833041,FSI,Financial Secrecy Index
Bhutan,BTN,2020,,FSI,Financial Secrecy Index
Bouvet Island,BVT,2020,,FSI,Financial Secrecy Index
Botswana,BWA,2020,58.3732222,FSI,Financial Secrecy Index
Central African Republic,CAF,2020,,FSI,Financial Secrecy Index
Canada,CAN,2020,438.3763735,FSI,Financial Secrecy Index
Cocos Islands,CCK,2020,,FSI,Financial Secrecy Index
Switzerland,CHE,2020,1402.104341,FSI,Financial Secrecy Index
Chile,CHL,2020,135.1246845,FSI,Financial Secrecy Index
China,CHN,2020,397.2478134,FSI,Financial Secrecy Index
Cote d'Ivoire,CIV,2020,,FSI,Financial Secrecy Index
Cameroon,CMR,2020,229.2318944,FSI,Financial Secrecy Index
Congo DRC,COD,2020,,FSI,Financial Secrecy Index
"Congo, Rep.",COG,2020,,FSI,Financial Secrecy Index
Cook Islands,COK,2020,12.08968373,FSI,Financial Secrecy Index
Colombia,COL,2020,92.25450441,FSI,Financial Secrecy Index
Comoros,COM,2020,,FSI,Financial Secrecy Index
Cape Verde,CPV,2020,,FSI,Financial Secrecy Index
Costa Rica,CRI,2020,132.2436273,FSI,Financial Secrecy Index
Cuba,CUB,2020,,FSI,Financial Secrecy Index
Cura�ao,CUW,2020,103.6047272,FSI,Financial Secrecy Index
Christmas Island,CXR,2020,,FSI,Financial Secrecy Index
Cayman Islands,CYM,2020,1575.187467,FSI,Financial Secrecy Index
Cyprus,CYP,2020,383.3767089,FSI,Financial Secrecy Index
Czechia,CZE,2020,163.301549,FSI,Financial Secrecy Index
Germany,DEU,2020,499.7193618,FSI,Financial Secrecy Index
Djibouti,DJI,2020,,FSI,Financial Secrecy Index
Dominica,DMA,2020,53.75459323,FSI,Financial Secrecy Index
Denmark,DNK,2020,103.5213067,FSI,Financial Secrecy Index
Dominican Republic,DOM,2020,86.68009359,FSI,Financial Secrecy Index
Algeria,DZA,2020,400.5574352,FSI,Financial Secrecy Index
Ecuador,ECU,2020,50.65986558,FSI,Financial Secrecy Index
Egypt,EGY,2020,241.9304224,FSI,Financial Secrecy Index
Eritrea,ERI,2020,,FSI,Financial Secrecy Index
Western Sahara,ESH,2020,,FSI,Financial Secrecy Index
Spain,ESP,2020,164.2963027,FSI,Financial Secrecy Index
Estonia,EST,2020,46.03418673,FSI,Financial Secrecy Index
Ethiopia,ETH,2020,,FSI,Financial Secrecy Index
Finland,FIN,2020,119.3438966,FSI,Financial Secrecy Index
Fiji,FJI,2020,,FSI,Financial Secrecy Index
Falkland Islands,FLK,2020,,FSI,Financial Secrecy Index
France,FRA,2020,350.5328628,FSI,Financial Secrecy Index
Faroe Islands,FRO,2020,,FSI,Financial Secrecy Index
Micronesia,FSM,2020,,FSI,Financial Secrecy Index
Gabon,GAB,2020,,FSI,Financial Secrecy Index
United Kingdom,GBR,2020,534.6489772,FSI,Financial Secrecy Index
Georgia,GEO,2020,,FSI,Financial Secrecy Index
Guernsey,GGY,2020,564.5566629,FSI,Financial Secrecy Index
Ghana,GHA,2020,54.46927623,FSI,Financial Secrecy Index
Gibraltar,GIB,2020,359.894185,FSI,Financial Secrecy Index
Guinea,GIN,2020,,FSI,Financial Secrecy Index
Guadeloupe,GLP,2020,,FSI,Financial Secrecy Index
Gambia,GMB,2020,37.71817321,FSI,Financial Secrecy Index
Guinea-Bissau,GNB,2020,,FSI,Financial Secrecy Index
Equatorial Guinea,GNQ,2020,,FSI,Financial Secrecy Index
Greece,GRC,2020,91.6458191,FSI,Financial Secrecy Index
Grenada,GRD,2020,34.5581084,FSI,Financial Secrecy Index
Greenland,GRL,2020,,FSI,Financial Secrecy Index
Guatemala,GTM,2020,162.1515523,FSI,Financial Secrecy Index
French Guiana,GUF,2020,,FSI,Financial Secrecy Index
Guam,GUM,2020,,FSI,Financial Secrecy Index
Guyana,GUY,2020,,FSI,Financial Secrecy Index
Hong Kong,HKG,2020,1035.294758,FSI,Financial Secrecy Index
Heard Island and McDonald Islands,HMD,2020,,FSI,Financial Secrecy Index
Honduras,HND,2020,,FSI,Financial Secrecy Index
Croatia,HRV,2020,112.3301275,FSI,Financial Secrecy Index
Haiti,HTI,2020,,FSI,Financial Secrecy Index
Hungary,HUN,2020,151.5159647,FSI,Financial Secrecy Index
Indonesia,IDN,2020,143.8350776,FSI,Financial Secrecy Index
Isle of Man,IMN,2020,258.344155,FSI,Financial Secrecy Index
India,IND,2020,238.6822839,FSI,Financial Secrecy Index
British Indian Ocean Territory,IOT,2020,,FSI,Financial Secrecy Index
Ireland,IRL,2020,363.7959507,FSI,Financial Secrecy Index
Iran,IRN,2020,,FSI,Financial Secrecy Index
Iraq,IRQ,2020,,FSI,Financial Secrecy Index
Iceland,ISL,2020,129.3088059,FSI,Financial Secrecy Index
Israel,ISR,2020,291.4915508,FSI,Financial Secrecy Index
Italy,ITA,2020,287.7961653,FSI,Financial Secrecy Index
Jamaica,JAM,2020,,FSI,Financial Secrecy Index
Jersey,JEY,2020,466.8129505,FSI,Financial Secrecy Index
Jordan,JOR,2020,260.3940199,FSI,Financial Secrecy Index
Japan,JPN,2020,695.5945925,FSI,Financial Secrecy Index
Kazakhstan,KAZ,2020,82.30435033,FSI,Financial Secrecy Index
Kenya,KEN,2020,398.1913655,FSI,Financial Secrecy Index
Kyrgyz Republic,KGZ,2020,,FSI,Financial Secrecy Index
Cambodia,KHM,2020,,FSI,Financial Secrecy Index
Kiribati,KIR,2020,,FSI,Financial Secrecy Index
St. Kitts and Nevis,KNA,2020,162.2543025,FSI,Financial Secrecy Index
South Korea,KOR,2020,411.058924,FSI,Financial Secrecy Index
Kuwait,KWT,2020,369.1707737,FSI,Financial Secrecy Index
Laos,LAO,2020,,FSI,Financial Secrecy Index
Lebanon,LBN,2020,385.5245651,FSI,Financial Secrecy Index
Liberia,LBR,2020,77.58983749,FSI,Financial Secrecy Index
Libya,LBY,2020,,FSI,Financial Secrecy Index
St. Lucia,LCA,2020,12.25216126,FSI,Financial Secrecy Index
Liechtenstein,LIE,2020,229.6776321,FSI,Financial Secrecy Index
Sri Lanka,LKA,2020,290.6386989,FSI,Financial Secrecy Index
Lesotho,LSO,2020,,FSI,Financial Secrecy Index
Lithuania,LTU,2020,89.82748835,FSI,Financial Secrecy Index
Luxembourg,LUX,2020,849.3599776,FSI,Financial Secrecy Index
Latvia,LVA,2020,182.8323824,FSI,Financial Secrecy Index
Macao,MAC,2020,356.5284554,FSI,Financial Secrecy Index
St. Martin,MAF,2020,,FSI,Financial Secrecy Index
Morocco,MAR,2020,157.4906161,FSI,Financial Secrecy Index
Monaco,MCO,2020,79.8978613,FSI,Financial Secrecy Index
Moldova,MDA,2020,,FSI,Financial Secrecy Index
Madagascar,MDG,2020,,FSI,Financial Secrecy Index
Maldives,MDV,2020,155.3867357,FSI,Financial Secrecy Index
Mexico,MEX,2020,139.8054232,FSI,Financial Secrecy Index
Marshall Islands,MHL,2020,236.4328673,FSI,Financial Secrecy Index
North Macedonia,MKD,2020,54.85502758,FSI,Financial Secrecy Index
Mali,MLI,2020,,FSI,Financial Secrecy Index
Malta,MLT,2020,442.1984597,FSI,Financial Secrecy Index
Myanmar,MMR,2020,,FSI,Financial Secrecy Index
Montenegro,MNE,2020,53.6489963,FSI,Financial Secrecy Index
Mongolia,MNG,2020,,FSI,Financial Secrecy Index
Northern Mariana Islands,MNP,2020,,FSI,Financial Secrecy Index
Mozambique,MOZ,2020,,FSI,Financial Secrecy Index
Mauritania,MRT,2020,,FSI,Financial Secrecy Index
Montserrat,MSR,2020,15.43065113,FSI,Financial Secrecy Index
Martinique,MTQ,2020,,FSI,Financial Secrecy Index
Mauritius,MUS,2020,235.8193779,FSI,Financial Secrecy Index
Malawi,MWI,2020,,FSI,Financial Secrecy Index
Malaysia,MYS,2020,352.6920303,FSI,Financial Secrecy Index
Mayotte,MYT,2020,,FSI,Financial Secrecy Index
Namibia,NAM,2020,,FSI,Financial Secrecy Index
New Caledonia,NCL,2020,,FSI,Financial Secrecy Index
Niger,NER,2020,,FSI,Financial Secrecy Index
Norfolk Island,NFK,2020,,FSI,Financial Secrecy Index
Nigeria,NGA,2020,348.5348452,FSI,Financial Secrecy Index
Nicaragua,NIC,2020,,FSI,Financial Secrecy Index
Niue,NIU,2020,,FSI,Financial Secrecy Index
Netherlands,NLD,2020,682.2018149,FSI,Financial Secrecy Index
Norway,NOR,2020,157.878571,FSI,Financial Secrecy Index
Nepal,NPL,2020,,FSI,Financial Secrecy Index
Nauru,NRU,2020,13.7947611,FSI,Financial Secrecy Index
New Zealand,NZL,2020,218.9967078,FSI,Financial Secrecy Index
Oman,OMN,2020,,FSI,Financial Secrecy Index
Pakistan,PAK,2020,97.92124943,FSI,Financial Secrecy Index
Panama,PAN,2020,479.5058892,FSI,Financial Secrecy Index
Pitcairn,PCN,2020,,FSI,Financial Secrecy Index
Peru,PER,2020,96.17585569,FSI,Financial Secrecy Index
Philippines,PHL,2020,201.176951,FSI,Financial Secrecy Index
Palau,PLW,2020,,FSI,Financial Secrecy Index
Papua New Guinea,PNG,2020,,FSI,Financial Secrecy Index
Poland,POL,2020,212.0988403,FSI,Financial Secrecy Index
Puerto Rico,PRI,2020,150.5337915,FSI,Financial Secrecy Index
North Korea,PRK,2020,,FSI,Financial Secrecy Index
Portugal,PRT,2020,151.1777761,FSI,Financial Secrecy Index
Paraguay,PRY,2020,117.590868,FSI,Financial Secrecy Index
Palestine,PSE,2020,,FSI,Financial Secrecy Index
French Polynesia,PYF,2020,,FSI,Financial Secrecy Index
Qatar,QAT,2020,433.0474125,FSI,Financial Secrecy Index
Reunion,REU,2020,,FSI,Financial Secrecy Index
Romania,ROU,2020,224.1335423,FSI,Financial Secrecy Index
Russia,RUS,2020,256.3531286,FSI,Financial Secrecy Index
Rwanda,RWA,2020,100.4708934,FSI,Financial Secrecy Index
Saudi Arabia,SAU,2020,245.4746014,FSI,Financial Secrecy Index
Sudan,SDN,2020,,FSI,Financial Secrecy Index
Senegal,SEN,2020,,FSI,Financial Secrecy Index
Singapore,SGP,2020,1022.119345,FSI,Financial Secrecy Index
South Georgia and the South Sandwich Islands,SGS,2020,,FSI,Financial Secrecy Index
Saint Helena,SHN,2020,,FSI,Financial Secrecy Index
Svalbard and Jan Mayen Islands,SJM,2020,,FSI,Financial Secrecy Index
Solomon Islands,SLB,2020,,FSI,Financial Secrecy Index
Sierra Leone,SLE,2020,,FSI,Financial Secrecy Index
El Salvador,SLV,2020,123.1214685,FSI,Financial Secrecy Index
San Marino,SMR,2020,20.81989966,FSI,Financial Secrecy Index
Somalia,SOM,2020,,FSI,Financial Secrecy Index
St. Pierre and Miquelon,SPM,2020,,FSI,Financial Secrecy Index
Serbia,SRB,2020,,FSI,Financial Secrecy Index
South Sudan,SSD,2020,,FSI,Financial Secrecy Index
Sao Tome and Principe,STP,2020,,FSI,Financial Secrecy Index
Suriname,SUR,2020,,FSI,Financial Secrecy Index
Slovakia,SVK,2020,91.29390449,FSI,Financial Secrecy Index
Slovenia,SVN,2020,27.48119603,FSI,Financial Secrecy Index
Sweden,SWE,2020,182.8646578,FSI,Financial Secrecy Index
Eswatini,SWZ,2020,,FSI,Financial Secrecy Index
Sint Maarten,SXM,2020,,FSI,Financial Secrecy Index
Seychelles,SYC,2020,108.5323325,FSI,Financial Secrecy Index
Syria,SYR,2020,,FSI,Financial Secrecy Index
Turks and Caicos Islands,TCA,2020,114.3223679,FSI,Financial Secrecy Index
Chad,TCD,2020,,FSI,Financial Secrecy Index
Togo,TGO,2020,,FSI,Financial Secrecy Index
Thailand,THA,2020,448.8582185,FSI,Financial Secrecy Index
Tajikistan,TJK,2020,,FSI,Financial Secrecy Index
Tokelau,TKL,2020,,FSI,Financial Secrecy Index
Turkmenistan,TKM,2020,,FSI,Financial Secrecy Index
Timor-Leste,TLS,2020,,FSI,Financial Secrecy Index
Tonga,TON,2020,,FSI,Financial Secrecy Index
Trinidad and Tobago,TTO,2020,29.63358834,FSI,Financial Secrecy Index
Tunisia,TUN,2020,147.4830832,FSI,Financial Secrecy Index
Turkey,TUR,2020,225.7219655,FSI,Financial Secrecy Index
Tuvalu,TUV,2020,,FSI,Financial Secrecy Index
Taiwan,TWN,2020,507.5742216,FSI,Financial Secrecy Index
Tanzania,TZA,2020,100.6186769,FSI,Financial Secrecy Index
Uganda,UGA,2020,,FSI,Financial Secrecy Index
Ukraine,UKR,2020,160.4497581,FSI,Financial Secrecy Index
United States Minor Outlying Islands,UMI,2020,,FSI,Financial Secrecy Index
Uruguay,URY,2020,115.470052,FSI,Financial Secrecy Index
United States,USA,2020,1486.957077,FSI,Financial Secrecy Index
Uzbekistan,UZB,2020,,FSI,Financial Secrecy Index
Vatican,VAT,2020,,FSI,Financial Secrecy Index
St. Vincent & Grenadines,VCT,2020,57.72270926,FSI,Financial Secrecy Index
Venezuela,VEN,2020,196.9988394,FSI,Financial Secrecy Index
British Virgin Islands,VGB,2020,619.1401487,FSI,Financial Secrecy Index
US Virgin Islands,VIR,2020,117.0346512,FSI,Financial Secrecy Index
Vietnam,VNM,2020,299.2994469,FSI,Financial Secrecy Index
Vanuatu,VUT,2020,88.59109729,FSI,Financial Secrecy Index
Wallis and Futuna Islands,WLF,2020,,FSI,Financial Secrecy Index
Samoa,WSM,2020,120.859974,FSI,Financial Secrecy Index
,XKX,2020,,FSI,Financial Secrecy Index
Yemen,YEM,2020,,FSI,Financial Secrecy Index
South Africa,ZAF,2020,218.5853163,FSI,Financial Secrecy Index
Zambia,ZMB,2020,,FSI,Financial Secrecy Index
Zimbabwe,ZWE,2020,,FSI,Financial Secrecy Index
Aruba,ABW,2022,159.364604258608,FSI,Financial Secrecy Index
Afghanistan,AFG,2022,,FSI,Financial Secrecy Index
Angola,AGO,2022,335.726662488047,FSI,Financial Secrecy Index
Anguilla,AIA,2022,199.868287614495,FSI,Financial Secrecy Index
Albania,ALB,2022,46.9009190392295,FSI,Financial Secrecy Index
Andorra,AND,2022,80.0128885228656,FSI,Financial Secrecy Index
Netherlands Antilles,ANT,2022,,FSI,Financial Secrecy Index
United Arab Emirates,ARE,2022,648.452012449766,FSI,Financial Secrecy Index
Argentina,ARG,2022,82.2489146996438,FSI,Financial Secrecy Index
Armenia,ARM,2022,,FSI,Financial Secrecy Index
American Samoa,ASM,2022,30.0633560836334,FSI,Financial Secrecy Index
French Southern Territories,ATF,2022,,FSI,Financial Secrecy Index
Antigua and Barbuda,ATG,2022,44.726376927443,FSI,Financial Secrecy Index
Australia,AUS,2022,318.068723355769,FSI,Financial Secrecy Index
Austria,AUT,2022,270.185906860013,FSI,Financial Secrecy Index
Azerbaijan,AZE,2022,,FSI,Financial Secrecy Index
Burundi,BDI,2022,,FSI,Financial Secrecy Index
Belgium,BEL,2022,358.925657432149,FSI,Financial Secrecy Index
Benin,BEN,2022,,FSI,Financial Secrecy Index
"Bonaire, Sint Eustatius and Saba",BES,2022,,FSI,Financial Secrecy Index
Burkina Faso,BFA,2022,,FSI,Financial Secrecy Index
Bangladesh,BGD,2022,232.42749691377,FSI,Financial Secrecy Index
Bulgaria,BGR,2022,89.5195970426802,FSI,Financial Secrecy Index
Bahrain,BHR,2022,191.054723230585,FSI,Financial Secrecy Index
Bahamas,BHS,2022,385.443037120639,FSI,Financial Secrecy Index
Bosnia and Herzegovina,BIH,2022,,FSI,Financial Secrecy Index
Belarus,BLR,2022,,FSI,Financial Secrecy Index
Belize,BLZ,2022,76.3965466696601,FSI,Financial Secrecy Index
Bermuda,BMU,2022,244.634676127082,FSI,Financial Secrecy Index
Bolivia,BOL,2022,87.2225547873925,FSI,Financial Secrecy Index
Brazil,BRA,2022,135.344597078661,FSI,Financial Secrecy Index
Barbados,BRB,2022,176.944742731616,FSI,Financial Secrecy Index
Brunei,BRN,2022,28.3367424360271,FSI,Financial Secrecy Index
Bhutan,BTN,2022,,FSI,Financial Secrecy Index
Bouvet Island,BVT,2022,,FSI,Financial Secrecy Index
Botswana,BWA,2022,80.3532278185222,FSI,Financial Secrecy Index
Central African Republic,CAF,2022,,FSI,Financial Secrecy Index
Canada,CAN,2022,348.703010135141,FSI,Financial Secrecy Index
Cocos Islands,CCK,2022,,FSI,Financial Secrecy Index
Switzerland,CHE,2022,1167.06805877781,FSI,Financial Secrecy Index
Chile,CHL,2022,161.135874986073,FSI,Financial Secrecy Index
China,CHN,2022,577.680381278876,FSI,Financial Secrecy Index
Cote d'Ivoire,CIV,2022,,FSI,Financial Secrecy Index
Cameroon,CMR,2022,139.847121712536,FSI,Financial Secrecy Index
Congo DRC,COD,2022,,FSI,Financial Secrecy Index
"Congo, Rep.",COG,2022,,FSI,Financial Secrecy Index
Cook Islands,COK,2022,38.9829277017679,FSI,Financial Secrecy Index
Colombia,COL,2022,88.2030750488736,FSI,Financial Secrecy Index
Comoros,COM,2022,,FSI,Financial Secrecy Index
Cape Verde,CPV,2022,,FSI,Financial Secrecy Index
Costa Rica,CRI,2022,91.2461682063749,FSI,Financial Secrecy Index
Cuba,CUB,2022,,FSI,Financial Secrecy Index
Cura�ao,CUW,2022,117.38350146156,FSI,Financial Secrecy Index
Christmas Island,CXR,2022,,FSI,Financial Secrecy Index
Cayman Islands,CYM,2022,516.439709453182,FSI,Financial Secrecy Index
Cyprus,CYP,2022,510.050768266449,FSI,Financial Secrecy Index
Czechia,CZE,2022,114.22075002177,FSI,Financial Secrecy Index
Germany,DEU,2022,680.656109360453,FSI,Financial Secrecy Index
Djibouti,DJI,2022,,FSI,Financial Secrecy Index
Dominica,DMA,2022,43.8971151015247,FSI,Financial Secrecy Index
Denmark,DNK,2022,139.920728650272,FSI,Financial Secrecy Index
Dominican Republic,DOM,2022,125.936550498231,FSI,Financial Secrecy Index
Algeria,DZA,2022,335.084734486588,FSI,Financial Secrecy Index
Ecuador,ECU,2022,72.8240981066744,FSI,Financial Secrecy Index
Egypt,EGY,2022,211.380977536261,FSI,Financial Secrecy Index
Eritrea,ERI,2022,,FSI,Financial Secrecy Index
Western Sahara,ESH,2022,,FSI,Financial Secrecy Index
Spain,ESP,2022,345.885712125912,FSI,Financial Secrecy Index
Estonia,EST,2022,46.8513248291558,FSI,Financial Secrecy Index
Ethiopia,ETH,2022,,FSI,Financial Secrecy Index
Finland,FIN,2022,118.958377851446,FSI,Financial Secrecy Index
Fiji,FJI,2022,57.8165245316051,FSI,Financial Secrecy Index
Falkland Islands,FLK,2022,,FSI,Financial Secrecy Index
France,FRA,2022,342.947734941308,FSI,Financial Secrecy Index
Faroe Islands,FRO,2022,,FSI,Financial Secrecy Index
Micronesia,FSM,2022,,FSI,Financial Secrecy Index
Gabon,GAB,2022,,FSI,Financial Secrecy Index
United Kingdom,GBR,2022,546.906403786103,FSI,Financial Secrecy Index
Georgia,GEO,2022,,FSI,Financial Secrecy Index
Guernsey,GGY,2022,610.370358389219,FSI,Financial Secrecy Index
Ghana,GHA,2022,166.974162606216,FSI,Financial Secrecy Index
Gibraltar,GIB,2022,109.672786965682,FSI,Financial Secrecy Index
Guinea,GIN,2022,,FSI,Financial Secrecy Index
Guadeloupe,GLP,2022,,FSI,Financial Secrecy Index
Gambia,GMB,2022,20.9445083691393,FSI,Financial Secrecy Index
Guinea-Bissau,GNB,2022,,FSI,Financial Secrecy Index
Equatorial Guinea,GNQ,2022,,FSI,Financial Secrecy Index
Greece,GRC,2022,103.197623112826,FSI,Financial Secrecy Index
Grenada,GRD,2022,35.8128087724807,FSI,Financial Secrecy Index
Greenland,GRL,2022,,FSI,Financial Secrecy Index
Guatemala,GTM,2022,265.185704271828,FSI,Financial Secrecy Index
French Guiana,GUF,2022,,FSI,Financial Secrecy Index
Guam,GUM,2022,31.8871036558588,FSI,Financial Secrecy Index
