iso3,year,indicator description,indicator code,Indicator label,value
AGO,1960,"Reserves and related items (BoP, current US$) divided by External debt stocks, short-term (DOD, current US$)",BN.RES.INCL.CD / DT.DOD.DSTC.CD,Adequacy of International Reserves,
BDI,1960,"Reserves and related items (BoP, current US$) divided by External debt stocks, short-term (DOD, current US$)",BN.RES.INCL.CD / DT.DOD.DSTC.CD,Adequacy of International Reserves,
BEN,1960,"Reserves and related items (BoP, current US$) divided by External debt stocks, short-term (DOD, current US$)",BN.RES.INCL.CD / DT.DOD.DSTC.CD,Adequacy of International Reserves,
BFA,1960,"Reserves and related items (BoP, current US$) divided by External debt stocks, short-term (DOD, current US$)",BN.RES.INCL.CD / DT.DOD.DSTC.CD,Adequacy of International Reserves,
BWA,1960,"Reserves and related items (BoP, current US$) divided by External debt stocks, short-term (DOD, current US$)",BN.RES.INCL.CD / DT.DOD.DSTC.CD,Adequacy of International Reserves,
CAF,1960,"Reserves and related items (BoP, current US$) divided by External debt stocks, short-term (DOD, current US$)",BN.RES.INCL.CD / DT.DOD.DSTC.CD,Adequacy of International Reserves,
CIV,1960,"Reserves and related items (BoP, current US$) divided by External debt stocks, short-term (DOD, current US$)",BN.RES.INCL.CD / DT.DOD.DSTC.CD,Adequacy of International Reserves,
CMR,1960,"Reserves and related items (BoP, current US$) divided by External debt stocks, short-term (DOD, current US$)",BN.RES.INCL.CD / DT.DOD.DSTC.CD,Adequacy of International Reserves,
COD,1960,"Reserves and related items (BoP, current US$) divided by External debt stocks, short-term (DOD, current US$)",BN.RES.INCL.CD / DT.DOD.DSTC.CD,Adequacy of International Reserves,
COG,1960,"Reserves and related items (BoP, current US$) divided by External debt stocks, short-term (DOD, current US$)",BN.RES.INCL.CD / DT.DOD.DSTC.CD,Adequacy of International Reserves,
COM,1960,"Reserves and related items (BoP, current US$) divided by External debt stocks, short-term (DOD, current US$)",BN.RES.INCL.CD / DT.DOD.DSTC.CD,Adequacy of International Reserves,
CPV,1960,"Reserves and related items (BoP, current US$) divided by External debt stocks, short-term (DOD, current US$)",BN.RES.INCL.CD / DT.DOD.DSTC.CD,Adequacy of International Reserves,
DJI,1960,"Reserves and related items (BoP, current US$) divided by External debt stocks, short-term (DOD, current US$)",BN.RES.INCL.CD / DT.DOD.DSTC.CD,Adequacy of International Reserves,
DZA,1960,"Reserves and related items (BoP, current US$) divided by External debt stocks, short-term (DOD, current US$)",BN.RES.INCL.CD / DT.DOD.DSTC.CD,Adequacy of International Reserves,
EGY,1960,"Reserves and related items (BoP, current US$) divided by External debt stocks, short-term (DOD, current US$)",BN.RES.INCL.CD / DT.DOD.DSTC.CD,Adequacy of International Reserves,
ERI,1960,"Reserves and related items (BoP, current US$) divided by External debt stocks, short-term (DOD, current US$)",BN.RES.INCL.CD / DT.DOD.DSTC.CD,Adequacy of International Reserves,
ETH,1960,"Reserves and related items (BoP, current US$) divided by External debt stocks, short-term (DOD, current US$)",BN.RES.INCL.CD / DT.DOD.DSTC.CD,Adequacy of International Reserves,
GAB,1960,"Reserves and related items (BoP, current US$) divided by External debt stocks, short-term (DOD, current US$)",BN.RES.INCL.CD / DT.DOD.DSTC.CD,Adequacy of International Reserves,
GHA,1960,"Reserves and related items (BoP, current US$) divided by External debt stocks, short-term (DOD, current US$)",BN.RES.INCL.CD / DT.DOD.DSTC.CD,Adequacy of International Reserves,
GIN,1960,"Reserves and related items (BoP, current US$) divided by External debt stocks, short-term (DOD, current US$)",BN.RES.INCL.CD / DT.DOD.DSTC.CD,Adequacy of International Reserves,
GMB,1960,"Reserves and related items (BoP, current US$) divided by External debt stocks, short-term (DOD, current US$)",BN.RES.INCL.CD / DT.DOD.DSTC.CD,Adequacy of International Reserves,
GNB,1960,"Reserves and related items (BoP, current US$) divided by External debt stocks, short-term (DOD, current US$)",BN.RES.INCL.CD / DT.DOD.DSTC.CD,Adequacy of International Reserves,
GNQ,1960,"Reserves and related items (BoP, current US$) divided by External debt stocks, short-term (DOD, current US$)",BN.RES.INCL.CD / DT.DOD.DSTC.CD,Adequacy of International Reserves,
KEN,1960,"Reserves and related items (BoP, current US$) divided by External debt stocks, short-term (DOD, current US$)",BN.RES.INCL.CD / DT.DOD.DSTC.CD,Adequacy of International Reserves,
LBR,1960,"Reserves and related items (BoP, current US$) divided by External debt stocks, short-term (DOD, current US$)",BN.RES.INCL.CD / DT.DOD.DSTC.CD,Adequacy of International Reserves,
LBY,1960,"Reserves and related items (BoP, current US$) divided by External debt stocks, short-term (DOD, current US$)",BN.RES.INCL.CD / DT.DOD.DSTC.CD,Adequacy of International Reserves,
LSO,1960,"Reserves and related items (BoP, current US$) divided by External debt stocks, short-term (DOD, current US$)",BN.RES.INCL.CD / DT.DOD.DSTC.CD,Adequacy of International Reserves,
MAR,1960,"Reserves and related items (BoP, current US$) divided by External debt stocks, short-term (DOD, current US$)",BN.RES.INCL.CD / DT.DOD.DSTC.CD,Adequacy of International Reserves,
MDG,1960,"Reserves and related items (BoP, current US$) divided by External debt stocks, short-term (DOD, current US$)",BN.RES.INCL.CD / DT.DOD.DSTC.CD,Adequacy of International Reserves,
MLI,1960,"Reserves and related items (BoP, current US$) divided by External debt stocks, short-term (DOD, current US$)",BN.RES.INCL.CD / DT.DOD.DSTC.CD,Adequacy of International Reserves,
MOZ,1960,"Reserves and related items (BoP, current US$) divided by External debt stocks, short-term (DOD, current US$)",BN.RES.INCL.CD / DT.DOD.DSTC.CD,Adequacy of International Reserves,
MRT,1960,"Reserves and related items (BoP, current US$) divided by External debt stocks, short-term (DOD, current US$)",BN.RES.INCL.CD / DT.DOD.DSTC.CD,Adequacy of International Reserves,
MUS,1960,"Reserves and related items (BoP, current US$) divided by External debt stocks, short-term (DOD, current US$)",BN.RES.INCL.CD / DT.DOD.DSTC.CD,Adequacy of International Reserves,
MWI,1960,"Reserves and related items (BoP, current US$) divided by External debt stocks, short-term (DOD, current US$)",BN.RES.INCL.CD / DT.DOD.DSTC.CD,Adequacy of International Reserves,
NAM,1960,"Reserves and related items (BoP, current US$) divided by External debt stocks, short-term (DOD, current US$)",BN.RES.INCL.CD / DT.DOD.DSTC.CD,Adequacy of International Reserves,
NER,1960,"Reserves and related items (BoP, current US$) divided by External debt stocks, short-term (DOD, current US$)",BN.RES.INCL.CD / DT.DOD.DSTC.CD,Adequacy of International Reserves,
NGA,1960,"Reserves and related items (BoP, current US$) divided by External debt stocks, short-term (DOD, current US$)",BN.RES.INCL.CD / DT.DOD.DSTC.CD,Adequacy of International Reserves,
RWA,1960,"Reserves and related items (BoP, current US$) divided by External debt stocks, short-term (DOD, current US$)",BN.RES.INCL.CD / DT.DOD.DSTC.CD,Adequacy of International Reserves,
SDN,1960,"Reserves and related items (BoP, current US$) divided by External debt stocks, short-term (DOD, current US$)",BN.RES.INCL.CD / DT.DOD.DSTC.CD,Adequacy of International Reserves,
SEN,1960,"Reserves and related items (BoP, current US$) divided by External debt stocks, short-term (DOD, current US$)",BN.RES.INCL.CD / DT.DOD.DSTC.CD,Adequacy of International Reserves,
SLE,1960,"Reserves and related items (BoP, current US$) divided by External debt stocks, short-term (DOD, current US$)",BN.RES.INCL.CD / DT.DOD.DSTC.CD,Adequacy of International Reserves,
SOM,1960,"Reserves and related items (BoP, current US$) divided by External debt stocks, short-term (DOD, current US$)",BN.RES.INCL.CD / DT.DOD.DSTC.CD,Adequacy of International Reserves,
SSD,1960,"Reserves and related items (BoP, current US$) divided by External debt stocks, short-term (DOD, current US$)",BN.RES.INCL.CD / DT.DOD.DSTC.CD,Adequacy of International Reserves,
STP,1960,"Reserves and related items (BoP, current US$) divided by External debt stocks, short-term (DOD, current US$)",BN.RES.INCL.CD / DT.DOD.DSTC.CD,Adequacy of International Reserves,
SWZ,1960,"Reserves and related items (BoP, current US$) divided by External debt stocks, short-term (DOD, current US$)",BN.RES.INCL.CD / DT.DOD.DSTC.CD,Adequacy of International Reserves,
SYC,1960,"Reserves and related items (BoP, current US$) divided by External debt stocks, short-term (DOD, current US$)",BN.RES.INCL.CD / DT.DOD.DSTC.CD,Adequacy of International Reserves,
TCD,1960,"Reserves and related items (BoP, current US$) divided by External debt stocks, short-term (DOD, current US$)",BN.RES.INCL.CD / DT.DOD.DSTC.CD,Adequacy of International Reserves,
TGO,1960,"Reserves and related items (BoP, current US$) divided by External debt stocks, short-term (DOD, current US$)",BN.RES.INCL.CD / DT.DOD.DSTC.CD,Adequacy of International Reserves,
TUN,1960,"Reserves and related items (BoP, current US$) divided by External debt stocks, short-term (DOD, current US$)",BN.RES.INCL.CD / DT.DOD.DSTC.CD,Adequacy of International Reserves,
TZA,1960,"Reserves and related items (BoP, current US$) divided by External debt stocks, short-term (DOD, current US$)",BN.RES.INCL.CD / DT.DOD.DSTC.CD,Adequacy of International Reserves,
UGA,1960,"Reserves and related items (BoP, current US$) divided by External debt stocks, short-term (DOD, current US$)",BN.RES.INCL.CD / DT.DOD.DSTC.CD,Adequacy of International Reserves,
ZAF,1960,"Reserves and related items (BoP, current US$) divided by External debt stocks, short-term (DOD, current US$)",BN.RES.INCL.CD / DT.DOD.DSTC.CD,Adequacy of International Reserves,
ZMB,1960,"Reserves and related items (BoP, current US$) divided by External debt stocks, short-term (DOD, current US$)",BN.RES.INCL.CD / DT.DOD.DSTC.CD,Adequacy of International Reserves,
ZWE,1960,"Reserves and related items (BoP, current US$) divided by External debt stocks, short-term (DOD, current US$)",BN.RES.INCL.CD / DT.DOD.DSTC.CD,Adequacy of International Reserves,
