economy,Year,Value,Indicator,IndicatorID
GHA,1961,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
GIN,1961,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
GMB,1961,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
GNB,1961,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
GNQ,1961,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
KEN,1961,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
LBR,1961,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
LBY,1961,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
LSO,1961,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
MAR,1961,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
MDG,1961,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
MLI,1961,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
MOZ,1961,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
MRT,1961,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
MUS,1961,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
MWI,1961,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
NAM,1961,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
NER,1961,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
NGA,1961,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
RWA,1961,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
SDN,1961,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
SEN,1961,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
SLE,1961,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
SOM,1961,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
SSD,1961,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
STP,1961,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
SWZ,1961,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
SYC,1961,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
TCD,1961,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
TGO,1961,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
TUN,1961,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
TZA,1961,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
UGA,1961,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
ZAF,1961,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
ZMB,1961,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
ZWE,1961,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
AGO,1962,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
BDI,1962,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
BEN,1962,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
BFA,1962,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
BWA,1962,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
CAF,1962,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
CIV,1962,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
CMR,1962,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
COD,1962,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
COG,1962,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
COM,1962,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
CPV,1962,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
DJI,1962,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
DZA,1962,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
EGY,1962,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
ERI,1962,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
ETH,1962,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
GAB,1962,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
GHA,1962,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
GIN,1962,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
GMB,1962,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
GNB,1962,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
GNQ,1962,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
KEN,1962,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
LBR,1962,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
LBY,1962,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
LSO,1962,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
MAR,1962,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
MDG,1962,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
MLI,1962,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
MOZ,1962,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
MRT,1962,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
MUS,1962,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
MWI,1962,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
NAM,1962,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
NER,1962,,Tax Revenue as Percentage of GDP,GC.TAX.TOTL.GD.ZS
