year,value,iso3,indicator description,indicator code
2021,508745617.8383399,CHN,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2022,406158251.41495377,CHN,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2020,183126192.0845688,CHN,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2021,1526322829.7387722,CHN,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2022,629026059.6347848,CHN,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2020,0.0,MAC,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2021,0.0,MAC,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2022,0.0,MAC,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2020,643712728.0132529,COL,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2021,860068097.6542165,COL,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2020,12552300.0,CRI,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2021,646975925.5053374,CRI,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2022,34524977.06251395,CRI,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2020,18995407.597254004,HRV,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2021,103438391.45907474,HRV,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2022,0.0,HRV,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2019,10510526.315789472,CYP,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2020,4856178.489702517,CYP,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2021,6232170.818505338,CYP,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2020,5621824.942791762,CZE,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2021,29392028.46975089,CZE,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2022,110604665.43730243,CZE,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2020,155214723.03206995,DNK,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2021,111801150.65243179,DNK,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2020,106961351.8022255,DOM,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2020,777143791.0,ECU,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2021,3281978156.71761,ECU,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2020,0.0,EGY,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2021,0.0,EGY,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2022,0.0,EGY,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2020,71169355.856,SLV,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2021,359874018.2424,SLV,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2022,471597054.0,SLV,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2020,80078356.97940503,EST,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2021,8438950.177935943,EST,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2022,558397226.5542676,EST,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2020,20297631.57894737,FIN,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2021,27019572.953736655,FIN,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2022,30830769.230769232,FIN,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2020,1610447482.8375287,FRA,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2021,4789571767.497034,FRA,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2022,4539515279.241306,FRA,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2022,23438940.530506052,GMB,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2022,8969945.1,GEO,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2020,49804565.21739131,DEU,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2021,3093586002.372479,DEU,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2022,2841163948.3667016,DEU,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2020,1879069.8000701508,GHA,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2021,2457328.388746803,GHA,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2022,285986.1,GHA,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2021,63449367.26272353,GIB,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2020,585162427.3455378,GRC,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2021,521889767.49703443,GRC,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2022,255910724.4467861,GRC,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2020,363854846.8200663,GTM,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2021,294111194.3479518,GTM,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2020,42768783.90490516,HND,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2021,220871608.89228323,HND,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2022,85663682.27307692,HND,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2019,3136655.036694567,HUN,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2021,14060179.460560337,HUN,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2022,21048666.014280796,HUN,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2020,945549723.3841587,IND,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2021,1712980974.465373,IND,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2022,2131401744.9424732,IND,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2020,193009473.96527824,IDN,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2021,0.0,IDN,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2020,88.00321991249481,IRQ,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2021,5151.962108149656,IRQ,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2022,2454.476696605307,IRQ,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2020,30266590.389016017,IRL,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2021,50916475.741399765,IRL,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2022,62222550.05268705,IRL,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2020,570572764.465225,ISR,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2021,9122915.379864113,ISR,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2020,2553656912.0820594,ITA,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2021,0.0,ITA,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2022,0.0,ITA,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2020,17197290.67047451,JPN,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2021,294348.671419313,JPN,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2022,13153636.752104083,JPN,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2020,0.0,KAZ,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2021,0.0,KAZ,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2020,4748028.539241457,KEN,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2021,5379530.020382236,KEN,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2022,4050039.570090117,KEN,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2020,0.0,KGZ,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2021,0.0,KGZ,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2022,11548058.100000001,KGZ,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
