year,value,iso3,indicator description,indicator code
2022,801518051.6050093,PRY,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2020,23356291.589025434,PER,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2021,52413200.0,PER,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2020,3572282.3453400102,PHL,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2021,0.0,PHL,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2020,485679955.9539053,POL,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2021,409968332.00103956,POL,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2022,127327576.94651684,POL,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2020,916822924.1189932,PRT,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2021,500427553.7959668,PRT,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2022,628809294.9367757,PRT,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2020,2906442.2028353326,QAT,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2020,4360938.8774361545,KOR,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2021,10270800.249391887,KOR,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2022,30270069.900000002,KOR,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2020,22105.263157894737,MDA,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2021,90960.85409252669,MDA,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2022,38345.62697576396,MDA,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2020,49362092.54004577,ROU,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2022,22062376.059009485,ROU,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2020,406493552.3134298,RUS,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2020,902661148.1086841,SAU,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2021,140601787.6044788,SAU,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2022,17175874.21516993,SEN,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2020,1933638.4439359268,SRB,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2021,0.0,SRB,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2022,0.0,SRB,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2020,3331023.222060959,SGP,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2021,702015.2757078985,SGP,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2022,3621293.1472081216,SGP,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2020,18198.512585812357,SVK,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2021,2172680.9015421113,SVK,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2022,1767812.455216017,SVK,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2020,11800216.075514873,SVN,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2021,123162652.1945433,SVN,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2022,75876226.13277134,SVN,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2020,4497579949.656751,ESP,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2021,1884019154.4673784,ESP,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2022,1007954204.3224447,ESP,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2021,2217025.1800204,LKA,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2022,802360665.8123345,LKA,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2020,2306249.848,PSE,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2021,547315.0,PSE,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2020,187034818.4098593,SWE,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2021,194180435.24043524,SWE,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2022,253251243.34128404,SWE,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2021,1943044.0,SYR,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2022,952036.0,SYR,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2020,1683571.2000000002,TJK,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2021,27839941.8,TJK,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2022,18283019.4,TJK,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2020,0.0,THA,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2021,45492471.9030577,THA,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2022,13948753.959866008,THA,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2022,386020.87073774426,TGO,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2021,66471292.61784761,TTO,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2022,2126341.2322274884,TTO,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2021,4234370.477568742,TUN,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2020,381776170.99322796,TUR,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2021,948128113.8790036,TUR,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2022,105271463.41463415,TUR,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2020,41900942.36248083,UKR,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2021,0.0,UKR,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2022,11194149.425993001,UKR,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2020,76027290.61530085,ARE,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2021,269260011.5028587,ARE,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2022,166943422.893003,ARE,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2020,2126727506.4267354,GBR,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2021,2005995883.4938102,GBR,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2022,1085269419.0358467,GBR,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2021,607252308.17,USA,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2020,23873669.270584866,URY,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2021,24641693.468150582,URY,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2022,0.0,URY,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2021,88025698.0,UZB,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2022,0.0,UZB,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2020,7738.1630502450325,ZMB,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2021,190528.56001597765,ZMB,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2022,412985061.55303025,ZMB,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
2020,13650.0,ZWE,The amount of drugs seized in kilograms multiplied by the drug price in kilograms. Excludes all seizures not measured in grams or kilograms.,Monetary losses (in USD) to drug sales
