economy,year,value,indicator description,indicator code
DZA,1961,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
EGY,1961,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
ERI,1961,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
ETH,1961,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
GAB,1961,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
GHA,1961,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
GIN,1961,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
GMB,1961,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
GNB,1961,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
GNQ,1961,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
KEN,1961,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
LBR,1961,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
LBY,1961,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
LSO,1961,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
MAR,1961,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
MDG,1961,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
MLI,1961,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
MOZ,1961,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
MRT,1961,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
MUS,1961,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
MWI,1961,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
NAM,1961,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
NER,1961,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
NGA,1961,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
RWA,1961,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
SDN,1961,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
SEN,1961,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
SLE,1961,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
SOM,1961,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
SSD,1961,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
STP,1961,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
SWZ,1961,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
SYC,1961,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
TCD,1961,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
TGO,1961,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
TUN,1961,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
TZA,1961,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
UGA,1961,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
ZAF,1961,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
ZMB,1961,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
ZWE,1961,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
AGO,1962,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
BDI,1962,,"ID ownership, 15 to 24 years old (%)",FX.OWN.TOTL.YG.ZS
