iso3,year,indicator description,indicator code,Indicator label,value
AGO,1960,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,Domestic Credit to GDP Ratio,
BDI,1960,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,Domestic Credit to GDP Ratio,
BEN,1960,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,Domestic Credit to GDP Ratio,
BFA,1960,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,Domestic Credit to GDP Ratio,
BWA,1960,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,Domestic Credit to GDP Ratio,
CAF,1960,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,Domestic Credit to GDP Ratio,
CIV,1960,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,Domestic Credit to GDP Ratio,
CMR,1960,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,Domestic Credit to GDP Ratio,
COD,1960,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,Domestic Credit to GDP Ratio,
COG,1960,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,Domestic Credit to GDP Ratio,
COM,1960,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,Domestic Credit to GDP Ratio,
CPV,1960,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,Domestic Credit to GDP Ratio,
DJI,1960,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,Domestic Credit to GDP Ratio,
DZA,1960,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,Domestic Credit to GDP Ratio,
EGY,1960,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,Domestic Credit to GDP Ratio,
ERI,1960,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,Domestic Credit to GDP Ratio,
ETH,1960,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,Domestic Credit to GDP Ratio,
GAB,1960,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,Domestic Credit to GDP Ratio,
GHA,1960,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,Domestic Credit to GDP Ratio,
GIN,1960,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,Domestic Credit to GDP Ratio,
GMB,1960,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,Domestic Credit to GDP Ratio,
GNB,1960,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,Domestic Credit to GDP Ratio,
GNQ,1960,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,Domestic Credit to GDP Ratio,
KEN,1960,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,Domestic Credit to GDP Ratio,
LBR,1960,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,Domestic Credit to GDP Ratio,
LBY,1960,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,Domestic Credit to GDP Ratio,
LSO,1960,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,Domestic Credit to GDP Ratio,
MAR,1960,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,Domestic Credit to GDP Ratio,
MDG,1960,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,Domestic Credit to GDP Ratio,
MLI,1960,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,Domestic Credit to GDP Ratio,
MOZ,1960,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,Domestic Credit to GDP Ratio,
MRT,1960,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,Domestic Credit to GDP Ratio,
MUS,1960,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,Domestic Credit to GDP Ratio,
MWI,1960,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,Domestic Credit to GDP Ratio,
NAM,1960,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,Domestic Credit to GDP Ratio,
NER,1960,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,Domestic Credit to GDP Ratio,
NGA,1960,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,Domestic Credit to GDP Ratio,
RWA,1960,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,Domestic Credit to GDP Ratio,
SDN,1960,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,Domestic Credit to GDP Ratio,
SEN,1960,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,Domestic Credit to GDP Ratio,
SLE,1960,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,Domestic Credit to GDP Ratio,
SOM,1960,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,Domestic Credit to GDP Ratio,
SSD,1960,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,Domestic Credit to GDP Ratio,
STP,1960,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,Domestic Credit to GDP Ratio,
SWZ,1960,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,Domestic Credit to GDP Ratio,
SYC,1960,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,Domestic Credit to GDP Ratio,
TCD,1960,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,Domestic Credit to GDP Ratio,
TGO,1960,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,Domestic Credit to GDP Ratio,
TUN,1960,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,Domestic Credit to GDP Ratio,
TZA,1960,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,Domestic Credit to GDP Ratio,
UGA,1960,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,Domestic Credit to GDP Ratio,
ZAF,1960,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,Domestic Credit to GDP Ratio,
ZMB,1960,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,Domestic Credit to GDP Ratio,
ZWE,1960,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,Domestic Credit to GDP Ratio,
AGO,1961,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,Domestic Credit to GDP Ratio,
BDI,1961,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,Domestic Credit to GDP Ratio,
BEN,1961,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,Domestic Credit to GDP Ratio,
BFA,1961,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,Domestic Credit to GDP Ratio,
BWA,1961,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,Domestic Credit to GDP Ratio,
CAF,1961,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,Domestic Credit to GDP Ratio,
CIV,1961,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,Domestic Credit to GDP Ratio,
CMR,1961,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,Domestic Credit to GDP Ratio,
COD,1961,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,Domestic Credit to GDP Ratio,
COG,1961,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,Domestic Credit to GDP Ratio,
COM,1961,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,Domestic Credit to GDP Ratio,
CPV,1961,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,Domestic Credit to GDP Ratio,
DJI,1961,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,Domestic Credit to GDP Ratio,
DZA,1961,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,Domestic Credit to GDP Ratio,
EGY,1961,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,Domestic Credit to GDP Ratio,
ERI,1961,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,Domestic Credit to GDP Ratio,
