country_name,iso3,fsi_2011_value,fsi_2013_value,fsi_2015_value,fsi_2018_value,fsi_2020_value,fsi_2022_value,cthi_2019_score,cthi_2021_score,cthi_2019_rank,cthi_2021_rank,cthi_2019_share,cthi_2021_share,sotj20_loss_corp_musd,sotj21_loss_corp_musd,sotj23_loss_corp_musd,sotj20_loss_total_share_healthexpenses,sotj21_loss_total_share_healthexpenses,sotj23_loss_total_musd,sotj23_loss_total_share_healthexpenses
Brunei,BRN,45.79904958,50.63406,47.41675,85.59808,34.61833041,28.3367424360271,,,,,,,85.46283320055534,0.000013135000142,13.87500017881393,0.2889566491032839,0.044555621649332,13.87500017881393,0.0445480863654811
Bhutan,BTN,,,,,,,,,,,,,0.0,0.00002700000108,0.0,0.0015927957276771,0.5019007603162363,0.1112302243709564,0.0018690425882778
Bouvet Island,BVT,,,,,,,,,,,,,0.0,,,,,,
Botswana,BWA,121.2662673,98.99626,90.55827,39.44938,58.3732222,80.3532278185222,55.25788898861905,54.88221436663192,56,59,0.0019570057636586,0.0018018830038031,13.44292747770227,0.000005059999977,6.81999996304512,0.0354100601676002,0.0189449893563462,16.03442123532295,0.0207777536065791
Central African Republic,CAF,,,,,,,,,,,,,36.3,0.0000012,0.0,2.279189083337436,0.164897335825613,0.3929566740989685,0.0257019920698747
Canada,CAN,366.1569807,418.5234,251.7512,425.8399,438.3763735,348.703010135141,,,,,,,3310.466008039709,0.003479714816166,1472.392036676407,0.0432278436840678,0.0398758165046344,3650.585151910782,0.0266815635721134
Cocos Islands,CCK,,,,,,,,,,,,,0.0,,,,,,
Switzerland,CHE,1879.215803,1765.25,1466.132,1589.574,1402.104341,1167.06805877781,83.31256726971428,88.57052953006583,5,5,0.0493686978100626,0.0510788257055475,881.2587786594252,0.00080320399096,272.3991267681122,0.2294199815106732,0.2141474589059813,4669.696001768112,0.1735755710046459
Chile,CHL,,,166.6763,168.6416,135.1246845,161.135874986073,,,,,,,414.5757598288327,0.00154937996962,1614.25,0.056299576911346,0.1620632205806892,1757.433090209961,0.1280272459475541
China,CHN,,,312.1978,372.5777,397.2478134,577.680381278876,58.30125853057142,62.50157434166584,19,19,0.0173378127918629,0.0202516094277586,3732.400491703544,0.00388925,1614.75,0.0438044403096554,0.0417281860767736,11435.2109375,0.0272611599262013
Cote d'Ivoire,CIV,,,,,,,,,,,,,217.0871990733885,0.00017075,102.25,0.4532799060463879,0.3726639673386768,121.3219604492188,0.1732296327872796
Cameroon,CMR,,,,,229.2318944,139.847121712536,,,,,,,114.56710688110712,0.000288090011349,41.91,0.5627562432757344,2.2010061685520568,65.75869384765625,0.7819698757666874
Congo DRC,COD,,,,,,,,,,,,,83.43071392269506,0.00061572,182.0,0.5556982915064476,3.031922114417529,210.6176071166992,0.8896305210239469
"Congo, Rep.",COG,,,,,,,,,,,,,0.791370680313349,0.000462150004266,566.6999999999999,0.0945591529883729,2.802647923367517,577.8057157516479,5.377772180222173
Cook Islands,COK,13.39634467,25.26854,17.80766,44.97323,12.08968373,38.9829277017679,,,,,,,0.0,,74.60000000000001,,0.0,74.60000000000001,8.714939959995672
Colombia,COL,,,,,92.25450441,88.2030750488736,,,,,,,11639.16003940118,0.002405840028304,1588.95,0.717938717657318,0.1595569396956839,1891.784381103516,0.1034629459756165
Comoros,COM,,,,,,,,,,,,,0.0,,13.5,0.0268859567769717,0.0513194215289456,13.82920050621033,2.737469669634898
Cape Verde,CPV,,,,,,,,,,,,,0.0,0.0,10.0,0.0214546785849495,0.0213547179200182,11.16445517539978,0.1760513718914349
Costa Rica,CRI,177.2174434,157.6024,74.91603,168.778,132.2436273,91.2461682063749,,67.51870748299321,,40,,0.0057067614548363,197.1719694166733,0.000349200013968,219.9,0.0654366030852298,0.1236147618985116,260.9567779541015,0.0763530884567114
Cuba,CUB,,,,,,,,,,,,,0.0,,0.0,0.0001607911056843,0.0002531598403626,4.919833660125732,0.000494395677423
Cura�ao,CUW,,106.41,67.8111,105.658,103.6047272,117.38350146156,72.04477021345716,72.46070611052025,21,29,0.0145442590045223,0.0079641909605561,0.0,0.000001099999995,3.739999979734421,,,350.2822057902813,1.882713340778287
Christmas Island,CXR,,,,,,,,,,,,,0.0,,,,,,
Cayman Islands,CYM,1646.67297,1233.567,1013.158,1267.682,1575.187467,516.439709453182,100,100,3,2,0.0667116527344404,0.0599385015765242,0.1667600979493098,0.0,0.0,,,0.0,
